mention_a_id	mention_b_id	mention_a	mention_b	sim
64110_199911-352087-01	61620_201211-429725-01	caring communities	rainbow communities	0.5226654
35120_201910-375890-03	61620_201211-430722-01	inspectors	Equality officers	0.4628275
22110_199405-313749-01	21914_199906-50173-02	white and blue-collar workers	Flex workers	0.49025792
21111_200706-58010-01	31720_200706-213188-02	The rulers	peasants	0.538507
171101_200907-305290-01	21914_199906-50173-02	The guest workers	Flex workers	0.452747
171101_200907-304782-01	21111_200706-58010-01	religious leaders	The rulers	0.53375375
12951_199709-334275-01	21111_200706-59253-01	non-adaptive citizens	future residents	0.47016245
42110_199010-04591-01	21111_200706-59253-01	second-class citizens	future residents	0.48759463
42110_199010-04591-01	12951_199709-334275-01	second-class citizens	non-adaptive citizens	0.53439033
42110_199910-09254-02	12951_199709-334275-01	non-consentable individuals	non-adaptive citizens	0.4821235
93712_199611-377437-01	21111_201006-76127-01	social-democratic federal chancellors	reformists	0.4546953
41953_202109-179762-01	92436_201110-364248-03	disabled New Zealanders	able-bodied people	0.5120235
21111_201006-74339-01	61620_201211-430722-01	educated police officers	Equality officers	0.5564491
31720_200706-216359-03	21111_201006-76127-01	the oligarchs	reformists	0.4737844
31720_200706-216359-03	21111_200706-58010-01	the oligarchs	The rulers	0.49422646
22110_200205-316552-01	12951_199709-334275-01	representatives of non-governmental organizations	non-adaptive citizens	0.4523483
32720_201803-288750-01	21111_201006-76127-01	Lobbyists	reformists	0.53230083
32720_201803-288750-01	23112_198906-292612-01	Lobbyists	Investors	0.50754625
32720_201803-288750-01	22110_200205-316552-01	Lobbyists	representatives of non-governmental organizations	0.47425795
21914_199906-49375-01	42110_199010-05933-01	makers	craftsmen	0.5000576
171101_199707-302977-01	61620_201211-429725-01	-marital communities	rainbow communities	0.47862428
171101_199707-302977-01	64110_199911-352087-01	-marital communities	caring communities	0.58936614
171101_199707-302963-01	92436_201110-364248-03	non-motorized persons	able-bodied people	0.46950024
21111_200706-58836-07	21111_200706-59253-01	the housing population	future residents	0.47550875
171101_200306-303405-02	42420_201710-19520-01	midwife	housewife	0.7139413
86710_201804-275016-03	61620_201211-429725-01	the religious communities	rainbow communities	0.55427074
