text	parsed	cite_key
Licht and Sczepanski 2025	Licht and Sczepanski (2025)	licht_detecting_2025
Farahani et al. 2024	Farahani et al. (2024)	
Lipset and Rokkan 1967	Lipset and Rokkan (1967)	
Dalton 1984, 2008	Dalton (1984)	
Dalton 1984, 2008	Dalton (2008)	
Kriesi et al. 2008, 2012	Kriesi et al. (2008)	
Kriesi et al. 2008, 2012	Kriesi et al. (2012)	
Piketty et al. 2018, 2021	Piketty et al. (2018)	
Piketty et al. 2018, 2021	Piketty et al. (2021)	
Bornschier et al. 2024	Bornschier et al. (2024)	
Brubaker 2004	Brubaker (2004)	
Chandra 2012	Chandra (2012)	
De Leon 2015	De Leon (2015)	
Westheuser and Zollinger 2025	Westheuser and Zollinger (2025)	
Damhuis 2020	Damhuis (2020)	
Thau 2019	Thau (2019)	thau_how_2019
Licht & Sczepanski 2025	Licht & Sczepanski (2025)	
Riethmüller and Franzmann 2025	Riethmüller and Franzmann (2025)	riethmuller_supply-side_2025
Dodeigne 2025	Dodeigne (2025)	dodeigne_challenging_2025
Horne et al. 2025	Horne et al. (2025)	horne_using_2025
Huber 2022	Huber (2022)	
Gevers et al. 2024	Gevers et al. (2024)	
De Mulder et al. 2025	De Mulder et al. (2025)	de_mulder_who_2025
Stuckelberger and Tresch 2024	Stuckelberger and Tresch (2024)	
Thau 2019, Thau et al. 2022	Thau (2019)	thau_how_2019
Thau 2019, Thau et al. 2022	Thau (2022)	
Bornschier, 2015	Bornschier, (2015)	
Kriesi et al., 2008, 2012	Kriesi et al., (2008)	
Kriesi et al., 2008, 2012	Kriesi et al., (2012)	
Stuckelberger & Tresch, 2022	Stuckelberger & Tresch, (2022)	
Przeworski & Sprague, 1986	Przeworski & Sprague, (1986)	
Thau 2021	Thau (2021)	thau_social_2021
De Leon, 2015	De Leon, (2015)	
Fraser, 2013	Fraser, (2013)	
Wlezien & Miller, 1997	Wlezien & Miller, (1997)	
Dolinsky, 2021, 2023	Dolinsky, (2021)	
Dolinsky, 2021, 2023	Dolinsky, (2023)	
Huber, 2022	Huber, (2022)	
Riethmüller et al., 2024	Riethmüller et al., (2024)	
Dolinsky, 2023	Dolinsky, (2023)	
Horne et al., 2025	Horne et al., (2025)	
Stuckelberger & Tresch, 2024	Stuckelberger & Tresch, (2024)	
Lipset & Rokkan, 1967	Lipset & Rokkan, (1967)	
Dalton, 1984, 2008	Dalton, (1984)	
Dalton, 1984, 2008	Dalton, (2008)	
Piketty et al., 2018, 2021	Piketty et al., (2018)	
Piketty et al., 2018, 2021	Piketty et al., (2021)	
Ashforth & Mael, 1989	Ashforth & Mael, (1989)	
Hogg, 1992, 2016	Hogg, (1992)	
Hogg, 1992, 2016	Hogg, (2016)	
Chandra, 2012	Chandra, (2012)	
Zuber et al., 2025	Zuber et al., (2025)	
Wolkenstein & Wratil, 2021	Wolkenstein & Wratil, (2021)	
Zollinger, 2022	Zollinger, (2022)	
Sczepanski, 2023	Sczepanski, (2023)	
Zollinger, 2024	Zollinger, (2024)	
Damhuis and Karremans, 2017	Damhuis and Karremans, (2017)	
Evans and Tilley, 2017	Evans and Tilley, (2017)	
Horn et al., 2021	Horn et al., (2021)	
Downs, 1957	Downs, (1957)	
Laclau, 2005	Laclau, (2005)	
Mudde & Kaltwasser, 2017	Mudde & Kaltwasser, (2017)	
Dalton, 2008	Dalton, (2008)	
Brubaker, 2004	Brubaker, (2004)	
Lamont & Molnár, 2002	Lamont & Molnár, (2002)	
Bowker & Star, 1999	Bowker & Star, (1999)	
Crenshaw, 1989	Crenshaw, (1989)	
Collins, 2000	Collins, (2000)	
McCall, 2005	McCall, (2005)	
Cho, Crenshaw, & McCall, 2013	Cho, Crenshaw, & McCall, (2013)	
Riker, 1962	Riker, (1962)	
Eley, 2002	Eley, (2002)	
Howe et al., 2022	Howe et al., (2022)	
Piketty, Gethin, & Martínez-Toledano, 2018, 2021	Piketty, Gethin, & Martínez-Toledano, (2018)	
Piketty, Gethin, & Martínez-Toledano, 2018, 2021	Piketty, Gethin, & Martínez-Toledano, (2021)	
Laclau & Mouffe, 1985	Laclau & Mouffe, (1985)	
Pitkin (1967)	Pitkin (1967)	pitkin_concept_1967
Huber (2022)	Huber (2022)	
Tresch (2024)	Tresch (2024)	
