trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2025-12-02T06:49:13,2025-12-02T06:52:18,185,"(8, 8)",0.0001,0.015,0.1,0.0
1,2025-12-02T06:52:18,2025-12-02T06:55:40,201,"(16, 8)",0.0001,0.2,0.15,0.0
2,2025-12-02T06:55:40,2025-12-02T06:59:55,255,"(16, 4)",0.0001,0.01,0.15,0.0
3,2025-12-02T06:59:55,2025-12-02T07:08:49,534,"(16, 4)",0.03,0.015,0.1,0.3361111111111111
4,2025-12-02T07:08:49,2025-12-02T07:14:22,332,"(8, 4)",0.0001,0.2,0.1,0.1693548387096774
5,2025-12-02T07:14:22,2025-12-02T07:21:47,445,"(16, 4)",0.03,0.01,0.1,0.41805416805416806
6,2025-12-02T07:21:47,2025-12-02T07:31:10,562,"(16, 4)",0.03,0.2,0.1,0.5552299552299552
7,2025-12-02T07:31:10,2025-12-02T07:35:00,229,"(16, 8)",0.01,0.2,0.15,0.16666666666666666
8,2025-12-02T07:35:00,2025-12-02T07:39:18,258,"(8, 4)",0.003,0.01,0.1,0.0
9,2025-12-02T07:39:18,2025-12-02T07:44:28,309,"(8, 8)",0.03,0.2,0.15,0.3335164835164835
10,2025-12-02T07:44:28,2025-12-02T07:52:15,467,"(16, 4)",0.003,0.2,0.1,0.36034188034188036
11,2025-12-02T07:52:15,2025-12-02T07:59:39,443,"(16, 4)",0.03,0.01,0.1,0.41805416805416806
12,2025-12-02T07:59:39,2025-12-02T08:07:06,446,"(16, 4)",0.03,0.01,0.1,0.41805416805416806
13,2025-12-02T08:07:06,2025-12-02T08:14:23,437,"(16, 4)",0.03,0.01,0.1,0.41805416805416806
14,2025-12-02T08:14:23,2025-12-02T08:20:37,373,"(16, 4)",0.01,0.015,0.1,0.19629629629629627
