trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2025-12-01T23:07:49,2025-12-01T23:10:16,147,"(8, 8)",0.003,0.01,0.15,0.2991685834225289
1,2025-12-01T23:10:16,2025-12-01T23:12:10,113,"(32, 8)",0.0001,0.2,0.1,0.4026130873956961
2,2025-12-01T23:12:10,2025-12-01T23:13:58,107,"(32, 8)",0.03,0.015,0.1,0.5174039938556068
3,2025-12-01T23:13:58,2025-12-01T23:15:54,116,"(8, 8)",0.003,0.2,0.1,0.5317977915804003
4,2025-12-01T23:15:54,2025-12-01T23:17:26,91,"(32, 16)",0.03,0.015,0.1,0.5253405017921148
5,2025-12-01T23:17:26,2025-12-01T23:19:13,107,"(16, 8)",0.003,0.015,0.15,0.5973214285714286
6,2025-12-01T23:19:13,2025-12-01T23:21:05,111,"(16, 8)",0.01,0.01,0.15,0.6462962962962963
7,2025-12-01T23:21:05,2025-12-01T23:22:44,99,"(32, 16)",0.003,0.01,0.1,0.47835497835497837
8,2025-12-01T23:22:44,2025-12-01T23:25:23,158,"(32, 4)",0.01,0.01,0.15,0.6450264550264551
9,2025-12-01T23:25:23,2025-12-01T23:27:59,156,"(16, 4)",0.0001,0.015,0.1,0.5597883597883598
10,2025-12-01T23:27:59,2025-12-01T23:29:49,109,"(16, 8)",0.01,0.01,0.15,0.6462962962962963
11,2025-12-01T23:29:49,2025-12-01T23:31:37,107,"(16, 8)",0.01,0.01,0.15,0.6462962962962963
12,2025-12-01T23:31:37,2025-12-01T23:33:26,108,"(16, 8)",0.01,0.01,0.15,0.6462962962962963
13,2025-12-01T23:33:26,2025-12-01T23:34:58,92,"(8, 16)",0.01,0.01,0.15,0.20012229210342417
14,2025-12-01T23:34:58,2025-12-01T23:36:39,100,"(16, 16)",0.01,0.01,0.15,0.6443510737628385
