trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2026-02-11T18:20:09,2026-02-11T18:21:29,80,"(8, 8)",0.003,0.01,0.15,0.867293764352588
1,2026-02-11T18:21:29,2026-02-11T18:22:53,83,"(32, 8)",0.0001,0.2,0.1,0.8205128205128205
2,2026-02-11T18:22:53,2026-02-11T18:24:02,68,"(32, 8)",0.03,0.015,0.1,0.8373015873015873
3,2026-02-11T18:24:02,2026-02-11T18:25:16,73,"(8, 8)",0.003,0.2,0.1,0.8657706093189965
4,2026-02-11T18:25:16,2026-02-11T18:26:18,62,"(32, 16)",0.03,0.015,0.1,0.8253968253968254
5,2026-02-11T18:26:18,2026-02-11T18:27:28,69,"(16, 8)",0.003,0.015,0.15,0.8255464242000349
6,2026-02-11T18:27:28,2026-02-11T18:28:45,76,"(16, 8)",0.01,0.01,0.15,0.6982142857142857
7,2026-02-11T18:28:45,2026-02-11T18:29:53,68,"(32, 16)",0.003,0.01,0.1,0.7832769889565021
8,2026-02-11T18:29:53,2026-02-11T18:31:32,98,"(32, 4)",0.01,0.01,0.15,0.8068693693693694
9,2026-02-11T18:31:32,2026-02-11T18:33:06,93,"(16, 4)",0.0001,0.015,0.1,0.8222222222222222
10,2026-02-11T18:33:06,2026-02-11T18:34:20,74,"(8, 8)",0.003,0.01,0.15,0.8626887536623844
11,2026-02-11T18:34:20,2026-02-11T18:35:32,72,"(8, 8)",0.003,0.2,0.15,0.8273109243697478
12,2026-02-11T18:35:32,2026-02-11T18:36:44,72,"(8, 8)",0.003,0.2,0.15,0.8273109243697478
13,2026-02-11T18:36:44,2026-02-11T18:37:52,68,"(8, 16)",0.003,0.2,0.1,0.871875
14,2026-02-11T18:37:52,2026-02-11T18:39:00,67,"(8, 16)",0.003,0.2,0.1,0.871875
