trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2025-12-01T19:55:33,2025-12-01T19:57:02,89,"(8, 8)",0.003,0.01,0.15,0.7113289760348583
1,2025-12-01T19:57:02,2025-12-01T19:58:35,93,"(32, 8)",0.0001,0.2,0.1,0.7111111111111111
2,2025-12-01T19:58:35,2025-12-01T20:00:06,90,"(32, 8)",0.03,0.015,0.1,0.7011916835699797
3,2025-12-01T20:00:06,2025-12-01T20:01:53,106,"(8, 8)",0.003,0.2,0.1,0.6755485527544351
4,2025-12-01T20:01:53,2025-12-01T20:03:02,69,"(32, 16)",0.03,0.015,0.1,0.6660247432306255
5,2025-12-01T20:03:02,2025-12-01T20:04:40,97,"(16, 8)",0.003,0.015,0.15,0.6810431161711996
6,2025-12-01T20:04:40,2025-12-01T20:06:05,85,"(16, 8)",0.01,0.01,0.15,0.7345679012345679
7,2025-12-01T20:06:05,2025-12-01T20:07:28,82,"(32, 16)",0.003,0.01,0.1,0.6646556058320764
8,2025-12-01T20:07:28,2025-12-01T20:09:18,110,"(32, 4)",0.01,0.01,0.15,0.7527880422117913
9,2025-12-01T20:09:18,2025-12-01T20:11:06,107,"(16, 4)",0.0001,0.015,0.1,0.6249701314217444
10,2025-12-01T20:11:06,2025-12-01T20:12:50,103,"(32, 4)",0.01,0.01,0.15,0.7527880422117913
11,2025-12-01T20:12:50,2025-12-01T20:14:45,114,"(32, 4)",0.01,0.01,0.15,0.7527880422117913
12,2025-12-01T20:14:45,2025-12-01T20:16:25,100,"(32, 4)",0.01,0.01,0.15,0.7527880422117913
13,2025-12-01T20:16:25,2025-12-01T20:18:23,117,"(32, 4)",0.01,0.01,0.15,0.7527880422117913
14,2025-12-01T20:18:23,2025-12-01T20:19:32,68,"(16, 16)",0.01,0.01,0.15,0.6066666666666666
