trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2026-02-05T09:41:17,2026-02-05T09:43:39,142,"(8, 8)",0.0001,0.015,0.1,0.0
1,2026-02-05T09:43:39,2026-02-05T09:46:03,144,"(16, 8)",0.0001,0.2,0.15,0.0
2,2026-02-05T09:46:03,2026-02-05T09:51:06,303,"(16, 4)",0.0001,0.01,0.15,0.4882826313471475
3,2026-02-05T09:51:06,2026-02-05T09:56:18,311,"(16, 4)",0.03,0.015,0.1,0.5023341935241249
4,2026-02-05T09:56:18,2026-02-05T10:03:06,408,"(8, 4)",0.0001,0.2,0.1,0.5525566538724433
5,2026-02-05T10:03:06,2026-02-05T10:09:28,382,"(16, 4)",0.03,0.01,0.1,0.6079325046051183
6,2026-02-05T10:09:28,2026-02-05T10:14:17,289,"(16, 4)",0.03,0.2,0.1,0.5254611662846956
7,2026-02-05T10:14:17,2026-02-05T10:17:42,204,"(16, 8)",0.01,0.2,0.15,0.42788304633097035
8,2026-02-05T10:17:42,2026-02-05T10:23:01,319,"(8, 4)",0.003,0.01,0.1,0.374939439645322
9,2026-02-05T10:23:01,2026-02-05T10:26:51,230,"(8, 8)",0.03,0.2,0.15,0.4931321619556914
10,2026-02-05T10:26:51,2026-02-05T10:32:38,346,"(16, 4)",0.003,0.01,0.1,0.5209454147385182
11,2026-02-05T10:32:38,2026-02-05T10:37:23,285,"(8, 4)",0.01,0.01,0.1,0.3681514392040708
12,2026-02-05T10:37:23,2026-02-05T10:44:14,410,"(8, 4)",0.03,0.2,0.1,0.544892494929006
13,2026-02-05T10:44:14,2026-02-05T10:47:12,177,"(8, 4)",0.0001,0.01,0.1,0.0
14,2026-02-05T10:47:12,2026-02-05T10:52:23,311,"(16, 4)",0.03,0.015,0.1,0.5023341935241249
