trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2026-02-05T11:40:09,2026-02-05T11:44:11,242,"(8, 8)",0.0001,0.015,0.1,0.5588840326340326
1,2026-02-05T11:44:11,2026-02-05T11:48:29,257,"(16, 8)",0.0001,0.2,0.15,0.41301587301587295
2,2026-02-05T11:48:29,2026-02-05T11:55:07,398,"(16, 4)",0.0001,0.01,0.15,0.5800038077701244
3,2026-02-05T11:55:07,2026-02-05T12:01:17,369,"(16, 4)",0.03,0.015,0.1,0.39579646515816724
4,2026-02-05T12:01:17,2026-02-05T12:05:09,232,"(8, 4)",0.0001,0.2,0.1,0.2203030303030303
5,2026-02-05T12:05:09,2026-02-05T12:10:55,345,"(16, 4)",0.03,0.01,0.1,0.4934318896125993
6,2026-02-05T12:10:55,2026-02-05T12:17:25,389,"(16, 4)",0.03,0.2,0.1,0.4787471203260676
7,2026-02-05T12:17:25,2026-02-05T12:19:50,145,"(16, 8)",0.01,0.2,0.15,0.06060606060606061
8,2026-02-05T12:19:50,2026-02-05T12:26:24,394,"(8, 4)",0.003,0.01,0.1,0.204025974025974
9,2026-02-05T12:26:24,2026-02-05T12:30:07,223,"(8, 8)",0.03,0.2,0.15,0.4644104545021011
10,2026-02-05T12:30:07,2026-02-05T12:35:35,327,"(16, 4)",0.003,0.01,0.15,0.4251083512069231
11,2026-02-05T12:35:35,2026-02-05T12:37:55,140,"(8, 8)",0.0001,0.015,0.15,0.0
12,2026-02-05T12:37:55,2026-02-05T12:41:53,237,"(8, 8)",0.0001,0.015,0.1,0.5588840326340326
13,2026-02-05T12:41:53,2026-02-05T12:44:14,140,"(8, 8)",0.0001,0.015,0.15,0.0
14,2026-02-05T12:44:14,2026-02-05T12:50:34,380,"(16, 4)",0.01,0.01,0.1,0.4429743833017078
