trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2025-12-02T10:33:31,2025-12-02T10:34:57,85,"(8, 8)",0.003,0.01,0.15,0.7183364461625332
1,2025-12-02T10:34:57,2025-12-02T10:36:47,109,"(32, 8)",0.0001,0.2,0.1,0.6692534036012296
2,2025-12-02T10:36:47,2025-12-02T10:38:11,84,"(32, 8)",0.03,0.015,0.1,0.7394949494949495
3,2025-12-02T10:38:11,2025-12-02T10:39:44,93,"(8, 8)",0.003,0.2,0.1,0.6971257505934926
4,2025-12-02T10:39:44,2025-12-02T10:41:00,75,"(32, 16)",0.03,0.015,0.1,0.7197561825148032
5,2025-12-02T10:41:00,2025-12-02T10:42:35,95,"(16, 8)",0.003,0.015,0.15,0.6438840326340327
6,2025-12-02T10:42:35,2025-12-02T10:44:03,87,"(16, 8)",0.01,0.01,0.15,0.7027838827838828
7,2025-12-02T10:44:03,2025-12-02T10:45:25,82,"(32, 16)",0.003,0.01,0.1,0.6847968697968698
8,2025-12-02T10:45:25,2025-12-02T10:47:08,102,"(32, 4)",0.01,0.01,0.15,0.7916168553668553
9,2025-12-02T10:47:08,2025-12-02T10:49:20,131,"(16, 4)",0.0001,0.015,0.1,0.7050018420277041
10,2025-12-02T10:49:20,2025-12-02T10:51:03,103,"(32, 4)",0.01,0.01,0.15,0.7916168553668553
11,2025-12-02T10:51:03,2025-12-02T10:52:46,103,"(32, 4)",0.01,0.01,0.15,0.7916168553668553
12,2025-12-02T10:52:46,2025-12-02T10:54:28,102,"(32, 4)",0.01,0.01,0.15,0.7916168553668553
13,2025-12-02T10:54:28,2025-12-02T10:56:11,102,"(32, 4)",0.01,0.01,0.15,0.7916168553668553
14,2025-12-02T10:56:11,2025-12-02T10:57:29,77,"(16, 16)",0.01,0.01,0.15,0.7224819624819625
