trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2025-12-02T14:57:02,2025-12-02T14:58:09,67,"(8, 8)",0.003,0.01,0.15,0.6997224997224997
1,2025-12-02T14:58:09,2025-12-02T14:59:34,84,"(32, 8)",0.0001,0.2,0.1,0.7050721500721501
2,2025-12-02T14:59:34,2025-12-02T15:00:46,71,"(32, 8)",0.03,0.015,0.1,0.7916910866910867
3,2025-12-02T15:00:46,2025-12-02T15:01:53,66,"(8, 8)",0.003,0.2,0.1,0.6460273060273061
4,2025-12-02T15:01:53,2025-12-02T15:02:55,62,"(32, 16)",0.03,0.015,0.1,0.7924289674289675
5,2025-12-02T15:02:55,2025-12-02T15:04:07,71,"(16, 8)",0.003,0.015,0.15,0.7806258615936035
6,2025-12-02T15:04:07,2025-12-02T15:05:17,70,"(16, 8)",0.01,0.01,0.15,0.8484226884226883
7,2025-12-02T15:05:17,2025-12-02T15:06:24,67,"(32, 16)",0.003,0.01,0.1,0.7402951950010774
8,2025-12-02T15:06:24,2025-12-02T15:07:59,95,"(32, 4)",0.01,0.01,0.15,0.8102434602434603
9,2025-12-02T15:07:59,2025-12-02T15:09:28,88,"(16, 4)",0.0001,0.015,0.1,0.7133388833388834
10,2025-12-02T15:09:28,2025-12-02T15:10:40,71,"(16, 8)",0.01,0.01,0.15,0.8484226884226883
11,2025-12-02T15:10:40,2025-12-02T15:11:52,71,"(16, 8)",0.01,0.01,0.15,0.8484226884226883
12,2025-12-02T15:11:52,2025-12-02T15:13:02,70,"(16, 8)",0.01,0.01,0.15,0.8484226884226883
13,2025-12-02T15:13:02,2025-12-02T15:14:04,62,"(8, 16)",0.01,0.01,0.15,0.7868437118437119
14,2025-12-02T15:14:04,2025-12-02T15:15:06,61,"(16, 16)",0.01,0.01,0.15,0.799996490964233
